Entity,Source,permit_no,ALLOC_PCT,aLLOC_TONS
CSX,Rockport  (fka Eastern Terminals),FL0166154,0.72%,7.5
Mosaic,Point Source - Bonnie (fka CF Bartow),FL0000523,1.45%,15.1
Mosaic,Point Source - Plant City (fka CF),FL0000078,0.09%,0.9
Mosaic,Point Source - Tampa Ammonia Terminal (fka CF),FL0187313,0.02%,0.2
Mosaic,Point Source - Tampa Marine (fka CF Phosphate Warehouse),FL0166057,0.06%,0.6
Mosaic,Point Source - Bartow,FL0001589,0.10%,1.1
Mosaic,Point Source - Ft. Lonesome,FL0033332,0.25%,2.6
Mosaic,Point Source - Green Bay,FL0000752,0.64%,6.6
Mosaic,Point Source - Hookers Prairie,FL0033294,0.52%,5.5
Mosaic,Point Source - Hopewell,FL0032590,0.25%,2.6
Mosaic,Point Source - Kingsford,FL0000256,6.17%,64.3
Mosaic,Point Source - Mulberry,FL0000671,0.53%,5.6
Mosaic,Point Source - New Wales Stack Closure,FL0036421,0.00%,0
Mosaic,Point Source - Nichols Mine,FL0030139,0.33%,3.5
Mosaic,Point Source - Riverview,FL0000761,0.84%,8.8
Mosaic,Point Source - Riverview Stack Closure,FL0177130,0.47%,4.9
Mosaic,Point Source - South Pierce,FL0000370,0.18%,1.9
Agrifos,Point Source - Nichols Prep Plant,FL0000299,0.00%,0
Brewster Phosphogypsum,Point Source - Brewster Phosphogypsum,FL0132381,0.10%,1
Alpha/Owens Corning,Point Source - Alpha/Owens Corning,FL0029653,0.10%,1
Coronet Industries,Point Source - Coronet Industries,FL0034657,0.45%,4.7
Estech Agricola,Point Source - Estech Agricola,FL0160083,0.25%,2.6
Exxon Mobil,Point Source - Exxon Mobil,FL0002666,0.16%,1.7
TECO Bayside,Point Source - TECO Bayside,FL0000809,0.07%,0.8
Trademark Nitrogen,Point Source - Trademark Nitrogen,FL0000647,0.00%,0
Yara North America,Point Source - Yara North America,FL0038652,0.03%,0.3
Busch Gardens,Point Source - Busch Gardens,FL0185833,0.00%,0
Mosaic,Point Source - Mulberry Phosphogypsum Stack,FL0334944,0.00%,0
Mosaic,Point Source - New Wales Chemical Plant,FL0036421,0.00%,0
Mosaic,Point Source - Four Corners,FL0036412,4.09%,29.3
