CLUCSID,IMPROVED,FLUCSID
17,0,0
1,1,1100
2,1,1200
3,1,1300
4,1,1400
8,0,1480
5,1,1500
6,1,1600
6,1,1650
7,1,1700
8,0,1800
8,1,1820
8,0,1900
10,1,2100
10,1,2110
10,0,2120
10,0,2130
14,1,2140
14,1,2150
11,1,2200
11,1,2210
11,1,2220
11,1,2230
12,1,2300
13,1,2400
8,1,2420
14,1,2440
16,1,2500
16,1,2540
16,1,2550
8,0,2600
8,0,3100
8,0,3200
8,0,3300
15,0,4100
15,0,4110
15,0,4120
15,0,4200
15,0,4300
15,0,4340
15,0,4400
16,0,5100
16,0,5200
16,0,5210
16,0,5220
16,0,5230
16,0,5240
16,0,5300
16,0,5310
16,0,5320
16,0,5330
16,0,5340
17,0,5400
16,0,5500
16,0,5600
17,0,5720
18,0,6100
18,0,6110
19,0,6120
18,0,6150
18,0,6200
18,0,6210
18,0,6240
18,0,6300
20,0,6400
20,0,6410
20,0,6411
19,0,6420
20,0,6430
16,0,6440
16,0,6450
21,0,6500
21,0,6510
21,0,6520
20,0,6530
17,0,6600
9,0,7100
9,0,7200
9,0,7300
9,0,7400
7,1,8100
7,1,8200
7,1,8300
17,0,9113
17,0,9116
17,0,9121
