nwssite,nws_x,nws_y,label
228,415826,3010551,ARCADIA
478,417986,3086233,BARTOW
520,352595,3105324,BAY LAKE
940,343572,3040799,BRADENTON EXPERIMENT
945,355056,3036965,BRADENTON 5 ESE
1046,366389,3166106,BROOKSVILLE CHIN HIL
1163,394141,3171362,BUSHNELL 2 E
1632,327864,3094572,CLEARWATER
1641,423324,3150822,CLERMONT 7 S
3153,388119,3049544,FORT GREEN 12 WSW
3986,378897,3114262,HILLSBOROUGH RVR SP
4707,427950,3106479,LAKE ALFRED EXP STN
5973,440969,3089791,MOUNTAIN LAKE
6065,369648,3014643,MYAKKA RIVER STATE P
6880,360167,3051678,PARRISH
7205,388579,3099395,PLANT CITY
7851,377469,3134590,ST LEO
7886,339071,3074100,ST PETERSBURG WHITTD
8788,349179,3094285,TAMPA INTL ARPT
8824,324855,3113086,TARPON SPNGS SWG PLT
9176,356254,2998172,VENICE
9401,419381,3049298,WAUCHULA 2 N
2806,339071,3074100,ST PETERSBURG WHITTD /*after 1718*/
